%time,field
1432832054111007928,1341845820.99
1432832056806227922,1341845822.83
1432832059063671112,1341845824.23
1432832061130165100,1341845825.55
1432832061840132951,1341845826.72
1432832066049695968,1341845827.08
1432832069902930021,1341845829.56
1432832072349701881,1341845831.67
1432832078325093030,1341845833.05
1432832081270565986,1341845829.56
1432832086397744894,1341845837.78
1432832093887955904,1341845840.19
1432832094813920974,1341845831.67
1432832097532397031,1341845844.88
1432832102118391990,1341845846.25
1432832105372837066,1341845829.56
1432832113723535060,1341845850.84
1432832118369673013,1341845829.56
1432832119569407939,1341845844.88
